info,job_position_info,name,position
阳光旅行家,"
本科以上 , 1-3年 , 全职 , 8千-1.5万
",,"
销售顾问 度假顾问
","
北京
"
阳光旅行家,"
硕士以上 , 应届毕业生 , 全职 , 8千-1.5万
",,"
定制规划师
","
北京
"
阳光旅行家,"
本科以上 , 应届毕业生 , 全职 , 6千-8千
",,"
境外定制资源OP
","
北京
"
阳光旅行家,"
本科以上 , 应届毕业生 , 全职 , 6千-1万
",,"
签证专员
","
北京
"
阳光旅行家,"
本科以上 , 应届毕业生 , 全职 , 4千-6千
",,"
视觉设计师
","
北京
"
耕牛传媒,"
大专以上 , 1-3年 , 全职 , 5000-10000元
",,"
WEB前端开发
","
北京
"
耕牛传媒,"
大专以上 , 0-2年 , 全职 , 4000-5999
",,"
产品助理
","
北京
"
耕牛传媒,"
中专以上 , 兼职 , 2000-3999
",,"
兼职编辑
","
北京
"
耕牛传媒,"
本科以上 , 0-2年 , 全职 , 4000-5999
",,"
UI视觉网页设计师
","
北京
"
耕牛传媒,"
大专以上 , 1-3年 , 全职 , 5000-10000元
",,"
WEB前端开发工程师
","
北京
"
耕牛传媒,"
大专以上 , 全职 , 4000-5999
",,"
行政人事专员
","
北京
"
华晨宝马,"
本科以上 , 全职
",,"
Adv. Sp. Problem Solving Physical Logistics
","
沈阳
"
华晨宝马,"
本科以上 , 全职
",,"
Adv. Sp. Proj.CoordinationCost Control
","
沈阳
"
华晨宝马,"
本科以上 , 4年以上 , 全职
",,"
Advanced Specialist Agile Development敏捷开发项目管理资深专员
","
北京
"
华晨宝马,"
本科以上 , 全职
",,"
Advanced Specialist Process Management资深采购流程管理专员-M12
","
沈阳
"
华晨宝马,"
本科以上 , 全职
",,"
Adv. Sp. Acoustic Center Integration Module Leader
","
沈阳
"
华晨宝马,"
本科以上 , 全职
",,"
Adv. Sp. Mechanical Maintenance
","
沈阳
"
华晨宝马,"
本科以上 , 全职
",,"
Advanced Specialist Plant Project Management
","
沈阳
"
华晨宝马,"
全职
",,"
Adv. Sp. Demand & Consumption
","
沈阳
"
华晨宝马,"
本科以上 , 全职
",,"
Senior Specialist Controls Planning
","
沈阳
"
华晨宝马,"
本科以上 , 全职
",,"
Advanced Specialist Modul Testing
","
沈阳
"
华晨宝马,"
本科以上 , 全职
",,"
Senior Specialist Production Control Vehicle Steer
","
沈阳
"
华晨宝马,"
本科以上 , 全职
",,"
Fastlane Trainee 精英硕士培训生Surface Materials and Adhesives
","
沈阳
"
华晨宝马,"
本科以上 , 4年以上 , 全职
",,"
Advanced Specialist Insurance
","
北京
"
华晨宝马,"
本科以上 , 5年以上 , 全职 , 15.0-22.5万元
",,"
Advanced Specialist Recruiting
","
沈阳
"
华晨宝马,"
本科以上 , 全职
",,"
Assistant Manager Dealer Service Performance 经销商服务表现助理经理
","
北京
"
美团，新美大,"
大专以上 , 5年以上 , 全职 , 9.6-12.0万元
",,"
城市采购负责人
","
绍兴
"
美团，新美大,"
初中以上 , 全职 , 6-8千/月
",,"
美团送餐员好福利弹性工作
","
西安
"
美团，新美大,"
初中以上 , 全职 , 6-8千/月
",,"
8k+美团送餐+自由就近分
","
西安
"
美团，新美大,"
本科以上 , 5年以上 , 全职 , 36.0-42.0万元
",,"
测试专家
","
北京
"
美团，新美大,"
本科以上 , 3年以上 , 全职
",,"
快驴事业部-目标与激励运营
","
北京
"
美团，新美大,"
本科以上 , 5-10年 , 全职 , 28000-45000元
",,"
美团地图-数据产品经理-工艺方向
","
北京
"
美团，新美大,"
本科以上 , 5年以上 , 全职
",,"
Oracle 数据库运维工程师专家
","
北京
"
美团，新美大,"
大专以上 , 3年以上 , 全职 , 9.0-12.0万元
",,"
快驴事业部-商户运营
","
沈阳
"
美团，新美大,"
本科以上 , 5-10年 , 全职 , 15000-30000元
",,"
快驴事业部-资深品类运营
","
北京
"
美团，新美大,"
本科以上 , 3年以上 , 全职
",,"
外卖高级产品运营
","
北京
"
美团，新美大,"
本科以上 , 3-5年 , 全职 , 20000-40000元
",,"
产品经理
","
上海
"
